,Activation,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
5,selu,97.79199999999999,97.99000000000001,97.88,98.13,54
16,"elu, alpha = 1.5",97.786,97.91399999999999,97.89,98.1,42
4,elu,97.62400000000001,97.802,97.77,97.98,71
15,"elu, alpha = 0.5",97.506,97.722,97.75,97.91,52
6,softplus,97.16600000000003,97.622,97.35000000000001,97.78999999999999,27
14,"ThresholdedReLU, theta = 0.0",97.306,97.498,97.6,97.78,49
2,relu,97.134,97.46000000000001,97.37,97.72999999999999,27
7,softsign,97.444,97.506,97.56,97.67,79
0,sigmoid,97.33800000000001,97.44999999999999,97.47,97.64,39
11,"LeakyReLU, alpha = 0.01",97.286,97.468,97.32,97.63,30
8,hard_sigmoid,97.386,97.41199999999999,97.48,97.61999999999999,71
1,tanh,97.30399999999999,97.38799999999999,97.37,97.6,68
9,LeakyReLU,97.306,97.352,97.47,97.52,79
10,ThresholdedReLU,96.548,96.892,96.63000000000001,97.14,30
13,"ThresholdedReLU, theta = 1.0",95.784,96.18400000000001,96.23,96.59,39
12,"LeakyReLU, alpha = 1.5",93.722,94.004,94.04,94.37,55
3,linear,91.64999999999999,92.154,92.28,92.67999999999999,38
