,Activation,Optimizer,Configuration,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
233,elu,Adamax,"beta_1: 0.95, beta_2: 0.999",Normd,98.16199999999998,98.166,98.29,98.31,98
220,elu,Adadelta,rho: 0.99,Normd,98.072,98.16199999999998,98.11999999999999,98.31,67
543,selu,Adamax,Default,Std,98.136,98.15799999999999,98.25,98.31,78
209,elu,sgd,"Momentum: 0.9, Nesterov: True",Normd,98.11,98.13600000000001,98.2,98.27,89
26,elu,Adamax,Default,Normd,98.084,98.11999999999999,98.16,98.22,98
203,elu,sgd,"Momentum: 0.9, Nesterov: False",Normd,98.10400000000001,98.11200000000001,98.26,98.27,98
204,elu,sgd,"Momentum: 0.95, Nesterov: False",Normd,98.04,98.11,98.14,98.24000000000001,78
774,selu,Adadelta,rho: 0.99,Std,98.03599999999999,98.108,98.15,98.3,79
787,selu,Adamax,"beta_1: 0.95, beta_2: 0.999",Std,98.08999999999999,98.108,98.24000000000001,98.25,89
785,selu,Adamax,"beta_1: 0.99, beta_2: 0.9999",Std,98.038,98.10600000000001,98.08,98.22999999999999,80
788,selu,Adamax,"beta_1: 0.95, beta_2: 0.99",Std,97.994,98.10400000000001,98.11,98.29,69
22,elu,adam,Default,Normd,97.96800000000002,98.102,98.09,98.24000000000001,65
210,elu,sgd,"Momentum: 0.95, Nesterov: True",Normd,98.024,98.09400000000001,98.17,98.25,80
232,elu,Adamax,"beta_1: 0.99, beta_2: 0.999",Normd,98.07400000000001,98.092,98.21,98.22999999999999,80
783,selu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.999",Std,97.99,98.092,98.08,98.37,65
757,selu,sgd,"Momentum: 0.9, Nesterov: False",Std,97.93,98.092,98.04,98.29,96
536,elu,Adamax,Default,Std,98.02199999999999,98.09,98.07000000000001,98.22,56
221,elu,Adadelta,rho: 0.999,Normd,98.06200000000001,98.08999999999999,98.2,98.22999999999999,98
237,elu,Adamax,"beta_1: 0.9, beta_2: 0.99",Normd,98.03200000000001,98.08999999999999,98.11999999999999,98.2,62
535,elu,Adadelta,Default,Std,97.958,98.08800000000002,98.02,98.21,47
234,elu,Adamax,"beta_1: 0.95, beta_2: 0.99",Normd,98.072,98.084,98.11,98.28,98
786,selu,Adamax,"beta_1: 0.99, beta_2: 0.999",Std,98.00999999999999,98.084,98.18,98.28,89
219,elu,Adadelta,rho: 0.9,Normd,98.058,98.08399999999999,98.15,98.22999999999999,97
763,selu,sgd,"Momentum: 0.9, Nesterov: True",Std,98.00999999999999,98.078,98.08,98.19,94
227,elu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.9999",Normd,97.984,98.07600000000001,98.1,98.26,84
782,selu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.999",Std,98.046,98.07599999999998,98.15,98.27,44
773,selu,Adadelta,rho: 0.9,Std,98.018,98.07599999999998,98.19,98.21,87
228,elu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.999",Normd,98.074,98.074,98.16,98.22999999999999,99
264,selu,Adadelta,rho: 0.99,Normd,98.006,98.072,98.11,98.16,59
742,elu,Adamax,"beta_1: 0.99, beta_2: 0.999",Std,97.96799999999999,98.066,98.06,98.18,71
791,selu,Adamax,"beta_1: 0.9, beta_2: 0.99",Std,97.97399999999999,98.066,98.08,98.2,92
214,elu,rmsp,rho: 0.99,Normd,97.984,98.06000000000002,98.07000000000001,98.19,61
216,elu,rmsp,rho: 0.999,Normd,98.024,98.06000000000002,98.1,98.21,71
224,elu,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.999",Normd,97.97200000000001,98.05999999999999,98.06,98.19,61
261,selu,rmsp,rho: 0.9999,Normd,97.934,98.056,98.02,98.17,67
230,elu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.9999",Normd,97.99,98.054,98.13,98.22999999999999,61
