,Configuration,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
0,"Activation: sigmoid, Optimizer: rmsp, Normalized data",97.536,97.624,97.61,97.77,86
1,"Activation: sigmoid, Optimizer: adam, Normalized data",97.5,97.584,97.65,97.72999999999999,82
2,"Activation: sigmoid, Optimizer: sgd, Normalized data",93.542,93.542,93.66,93.66,99
3,"Activation: sigmoid, Optimizer: Adagrad, Normalized data",96.06,96.06,96.17999999999999,96.17999999999999,99
4,"Activation: sigmoid, Optimizer: Adadelta, Normalized data",97.312,97.32799999999999,97.42,97.48,95
5,"Activation: sigmoid, Optimizer: Adamax, Normalized data",97.59800000000001,97.60799999999999,97.72,97.75,94
6,"Activation: sigmoid, Optimizer: Nadam, Normalized data",97.54400000000001,97.61599999999999,97.6,97.76,53
7,"Activation: tanh, Optimizer: rmsp, Normalized data",97.48599999999999,97.578,97.65,97.76,62
8,"Activation: tanh, Optimizer: adam, Normalized data",97.464,97.55600000000001,97.53,97.72,53
9,"Activation: tanh, Optimizer: sgd, Normalized data",96.728,96.728,96.78999999999999,96.84,99
10,"Activation: tanh, Optimizer: Adagrad, Normalized data",96.99199999999999,97.012,97.11,97.13000000000001,97
11,"Activation: tanh, Optimizer: Adadelta, Normalized data",97.656,97.68799999999999,97.85000000000001,97.85000000000001,96
12,"Activation: tanh, Optimizer: Adamax, Normalized data",97.67999999999999,97.73799999999999,97.78,97.83,97
13,"Activation: tanh, Optimizer: Nadam, Normalized data",97.254,97.39800000000001,97.35000000000001,97.6,47
14,"Activation: relu, Optimizer: rmsp, Normalized data",97.424,97.55,97.52,97.77,34
15,"Activation: relu, Optimizer: adam, Normalized data",97.51200000000001,97.674,97.72,97.94,34
16,"Activation: relu, Optimizer: sgd, Normalized data",97.47,97.5,97.49,97.53,98
17,"Activation: relu, Optimizer: Adagrad, Normalized data",97.48599999999999,97.51199999999999,97.75,97.78,98
18,"Activation: relu, Optimizer: Adadelta, Normalized data",97.63,97.70199999999998,97.72,97.88,87
19,"Activation: relu, Optimizer: Adamax, Normalized data",97.72799999999998,97.844,97.8,97.98,54
20,"Activation: relu, Optimizer: Nadam, Normalized data",97.308,97.41,97.61,97.69,28
21,"Activation: elu, Optimizer: rmsp, Normalized data",97.88,98.01599999999999,97.92999999999999,98.17,69
22,"Activation: elu, Optimizer: adam, Normalized data",97.96800000000002,98.102,98.09,98.24000000000001,65
23,"Activation: elu, Optimizer: sgd, Normalized data",97.27799999999999,97.284,97.32,97.38,98
24,"Activation: elu, Optimizer: Adagrad, Normalized data",97.428,97.446,97.48,97.54,96
25,"Activation: elu, Optimizer: Adadelta, Normalized data",97.944,97.98199999999999,98.03,98.11999999999999,97
26,"Activation: elu, Optimizer: Adamax, Normalized data",98.084,98.11999999999999,98.16,98.22,98
27,"Activation: elu, Optimizer: Nadam, Normalized data",97.88200000000002,97.98,98.02,98.21,19
28,"Activation: selu, Optimizer: rmsp, Normalized data",97.89999999999999,97.98200000000001,97.99,98.2,80
29,"Activation: selu, Optimizer: adam, Normalized data",97.988,98.002,98.08,98.22,94
30,"Activation: selu, Optimizer: sgd, Normalized data",96.59,96.59599999999999,96.7,96.7,95
31,"Activation: selu, Optimizer: Adagrad, Normalized data",96.648,96.656,96.76,96.76,97
32,"Activation: selu, Optimizer: Adadelta, Normalized data",97.89999999999999,97.98200000000001,98.02,98.13,97
33,"Activation: selu, Optimizer: Adamax, Normalized data",97.94600000000001,97.94600000000001,98.13,98.13,99
34,"Activation: selu, Optimizer: Nadam, Normalized data",97.75399999999999,97.89,97.84,98.1,42
35,"Activation: softplus, Optimizer: rmsp, Normalized data",97.636,97.76599999999999,97.69,97.9,45
36,"Activation: softplus, Optimizer: adam, Normalized data",97.70200000000001,97.85000000000001,97.81,97.99,66
37,"Activation: softplus, Optimizer: sgd, Normalized data",96.04599999999999,96.04599999999999,96.24000000000001,96.24000000000001,99
38,"Activation: softplus, Optimizer: Adagrad, Normalized data",97.08600000000001,97.102,97.18,97.19,98
39,"Activation: softplus, Optimizer: Adadelta, Normalized data",97.74199999999999,97.76400000000001,97.91,97.94,94
40,"Activation: softplus, Optimizer: Adamax, Normalized data",97.924,97.94800000000001,98.06,98.1,98
41,"Activation: softplus, Optimizer: Nadam, Normalized data",97.60199999999999,97.808,97.64,97.98,41
42,"Activation: softsign, Optimizer: rmsp, Normalized data",97.38399999999999,97.468,97.49,97.61,73
43,"Activation: softsign, Optimizer: adam, Normalized data",97.454,97.542,97.59,97.69,97
44,"Activation: softsign, Optimizer: sgd, Normalized data",96.22,96.268,96.3,96.34,98
45,"Activation: softsign, Optimizer: Adagrad, Normalized data",96.59,96.59,96.74000000000001,96.78,99
46,"Activation: softsign, Optimizer: Adadelta, Normalized data",97.28999999999999,97.34200000000001,97.39,97.45,97
47,"Activation: softsign, Optimizer: Adamax, Normalized data",97.538,97.542,97.68,97.68,91
48,"Activation: softsign, Optimizer: Nadam, Normalized data",97.43199999999999,97.526,97.50999999999999,97.66,94
49,"Activation: hard_sigmoid, Optimizer: rmsp, Normalized data",97.412,97.49600000000001,97.57000000000001,97.77,96
50,"Activation: hard_sigmoid, Optimizer: adam, Normalized data",97.60600000000001,97.658,97.76,97.81,73
51,"Activation: hard_sigmoid, Optimizer: sgd, Normalized data",93.54799999999999,93.54799999999999,93.64,93.64,99
