,Configuration,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
0,"Activation: sigmoid, Optimizer: rmsp, Dataset-wise Standardized data",97.148,97.27400000000002,97.24000000000001,97.42,51
1,"Activation: sigmoid, Optimizer: adam, Dataset-wise Standardized data",97.346,97.526,97.55,97.66,74
2,"Activation: sigmoid, Optimizer: sgd, Dataset-wise Standardized data",95.802,95.814,95.93,95.94,98
3,"Activation: sigmoid, Optimizer: Adagrad, Dataset-wise Standardized data",96.65800000000002,96.65800000000002,96.92,96.92,99
4,"Activation: sigmoid, Optimizer: Adadelta, Dataset-wise Standardized data",97.394,97.508,97.61999999999999,97.71,71
5,"Activation: sigmoid, Optimizer: Adamax, Dataset-wise Standardized data",97.45799999999998,97.54799999999999,97.61999999999999,97.74000000000001,92
6,"Activation: sigmoid, Optimizer: Nadam, Dataset-wise Standardized data",97.274,97.37199999999999,97.42,97.68,84
7,"Activation: tanh, Optimizer: rmsp, Dataset-wise Standardized data",97.25200000000001,97.35999999999999,97.4,97.55,91
8,"Activation: tanh, Optimizer: adam, Dataset-wise Standardized data",97.18,97.358,97.23,97.61,93
9,"Activation: tanh, Optimizer: sgd, Dataset-wise Standardized data",97.28,97.314,97.33000000000001,97.46000000000001,83
10,"Activation: tanh, Optimizer: Adagrad, Dataset-wise Standardized data",97.184,97.224,97.38,97.38,94
11,"Activation: tanh, Optimizer: Adadelta, Dataset-wise Standardized data",97.36200000000001,97.43,97.42,97.72999999999999,79
12,"Activation: tanh, Optimizer: Adamax, Dataset-wise Standardized data",97.502,97.55,97.67,97.72,68
13,"Activation: tanh, Optimizer: Nadam, Dataset-wise Standardized data",97.014,97.186,97.27,97.49,91
14,"Activation: relu, Optimizer: rmsp, Dataset-wise Standardized data",96.77199999999999,97.23600000000002,97.03,97.48,39
15,"Activation: relu, Optimizer: adam, Dataset-wise Standardized data",97.61,97.744,97.66,97.9,70
16,"Activation: relu, Optimizer: sgd, Dataset-wise Standardized data",97.61,97.636,97.76,97.8,95
17,"Activation: relu, Optimizer: Adagrad, Dataset-wise Standardized data",97.48800000000001,97.508,97.68,97.78999999999999,88
18,"Activation: relu, Optimizer: Adadelta, Dataset-wise Standardized data",97.46599999999998,97.60600000000001,97.61,97.86,37
19,"Activation: relu, Optimizer: Adamax, Dataset-wise Standardized data",97.60799999999999,97.78999999999999,97.68,97.94,69
20,"Activation: relu, Optimizer: Nadam, Dataset-wise Standardized data",97.482,97.58000000000001,97.75,97.91,80
21,"Activation: elu, Optimizer: rmsp, Dataset-wise Standardized data",97.736,97.828,97.9,98.04,28
22,"Activation: elu, Optimizer: adam, Dataset-wise Standardized data",97.78800000000001,97.91400000000002,97.94,98.07000000000001,33
23,"Activation: elu, Optimizer: sgd, Dataset-wise Standardized data",97.91399999999999,97.928,97.98,98.05,92
