,Activation,Optimizer,Type,Rate,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
34,selu,Adamax,"ReduceLR, initial LR = 0.002",0.5,std,98.168,98.19200000000001,98.25,98.33,178
33,selu,Adamax,"ReduceLR, initial LR = 0.002",0.35,std,98.13199999999999,98.148,98.21,98.26,69
32,selu,Adamax,"ReduceLR, initial LR = 0.002",0.2,std,98.124,98.13000000000001,98.16,98.22,94
39,selu,Adamax,Fixed LR,0.001,std,98.11,98.138,98.22,98.24000000000001,191
35,selu,Adamax,"LR Decay, initial LR = 0.002",0.0001,std,98.078,98.092,98.2,98.27,191
44,selu,sgd,Fixed LR,0.1,std,98.03200000000001,98.08600000000001,98.2,98.28,130
6,selu,Adamax,Fixed LR,0.002,normd,98.03200000000001,98.04,98.13,98.18,191
38,selu,Adamax,Fixed LR,0.002,std,98.024,98.12799999999999,98.22,98.4,151
45,selu,sgd,Fixed LR,0.01,std,98.018,98.04,98.11,98.15,198
5,selu,Adamax,Fixed LR,0.01,normd,97.986,98.09400000000001,98.11999999999999,98.22,92
12,selu,sgd,Fixed LR,0.1,normd,97.97799999999998,98.07000000000001,98.09,98.31,172
1,selu,Adamax,"ReduceLR, initial LR = 0.002",0.35,normd,97.956,97.98,98.05,98.11999999999999,126
2,selu,Adamax,"ReduceLR, initial LR = 0.002",0.5,normd,97.95,97.98200000000001,98.11,98.21,112
0,selu,Adamax,"ReduceLR, initial LR = 0.002",0.2,normd,97.94600000000001,97.95400000000001,98.07000000000001,98.09,99
42,selu,sgd,"ReduceLR, initial LR = 0.01",0.5,std,97.924,97.93799999999999,98.04,98.08,142
41,selu,sgd,"ReduceLR, initial LR = 0.01",0.35,std,97.904,97.91000000000001,97.99,98.00999999999999,175
7,selu,Adamax,Fixed LR,0.001,normd,97.89,97.926,97.96000000000001,98.03,174
40,selu,sgd,"ReduceLR, initial LR = 0.01",0.2,std,97.85199999999999,97.86000000000001,98.0,98.04,155
37,selu,Adamax,Fixed LR,0.01,std,97.74999999999999,97.956,97.88,98.19,48
22,sigmoid,Adamax,Fixed LR,0.002,normd,97.70199999999998,97.72400000000002,97.77,97.87,158
17,sigmoid,Adamax,"ReduceLR, initial LR = 0.002",0.35,normd,97.672,97.68,97.86,97.9,125
28,sigmoid,sgd,Fixed LR,0.1,normd,97.66600000000001,97.66999999999999,97.72,97.78,175
23,sigmoid,Adamax,Fixed LR,0.001,normd,97.658,97.66600000000001,97.78999999999999,97.78999999999999,194
18,sigmoid,Adamax,"ReduceLR, initial LR = 0.002",0.5,normd,97.64399999999999,97.672,97.77,97.81,126
16,sigmoid,Adamax,"ReduceLR, initial LR = 0.002",0.2,normd,97.59800000000001,97.60800000000002,97.67,97.72,141
55,sigmoid,Adamax,Fixed LR,0.001,std,97.57999999999998,97.584,97.82,97.82,196
21,sigmoid,Adamax,Fixed LR,0.01,normd,97.566,97.66199999999999,97.69,97.9,84
3,selu,Adamax,"LR Decay, initial LR = 0.002",0.0001,normd,97.53399999999999,97.53999999999999,97.64,97.64,196
