,Activation,Optimizer,Dropout,Rate,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
107,selu,Adamax,gaussian_dropout,0.2,std,98.10600000000001,98.188,98.31,98.42,97
101,selu,Adamax,dropout,0.2,std,98.136,98.15799999999999,98.25,98.31,78
110,selu,Adamax,dropout,0.1,std,98.116,98.136,98.18,98.32,86
116,selu,Adamax,dropout,0.1,std,98.116,98.136,98.18,98.32,86
20,selu,Adamax,gaussian_dropout,0.1,normd,98.09,98.09,98.17,98.18,99
14,selu,Adamax,gaussian_dropout,0.1,normd,98.09,98.09,98.17,98.18,99
122,selu,Adamax,gaussian_noise,0.05,std,98.00800000000001,98.088,98.17,98.27,92
120,selu,Adamax,gaussian_dropout,0.1,std,98.05199999999999,98.08600000000001,98.19,98.32,96
114,selu,Adamax,gaussian_dropout,0.1,std,98.05199999999999,98.08600000000001,98.19,98.32,96
10,selu,Adamax,dropout,0.1,normd,98.058,98.084,98.28,98.28,96
16,selu,Adamax,dropout,0.1,normd,98.058,98.084,98.28,98.28,96
112,selu,Adamax,alpha_dropout,0.1,std,97.98199999999999,98.04,98.04,98.14,50
118,selu,Adamax,alpha_dropout,0.1,std,97.98199999999999,98.04,98.04,98.14,50
12,selu,Adamax,alpha_dropout,0.1,normd,97.986,98.018,98.07000000000001,98.18,96
18,selu,Adamax,alpha_dropout,0.1,normd,97.986,98.018,98.07000000000001,98.18,96
139,selu,sgd,gaussian_dropout,0.1,std,97.976,98.004,98.0,98.11,97
145,selu,sgd,gaussian_dropout,0.1,std,97.976,98.004,98.0,98.11,97
7,selu,Adamax,gaussian_dropout,0.2,normd,97.89999999999999,97.99399999999999,97.92,98.1,97
22,selu,Adamax,gaussian_noise,0.05,normd,97.92999999999999,97.976,98.02,98.17,72
1,selu,Adamax,dropout,0.2,normd,97.94600000000001,97.94600000000001,98.13,98.13,99
141,selu,sgd,dropout,0.1,std,97.912,97.934,98.09,98.1,87
135,selu,sgd,dropout,0.1,std,97.912,97.934,98.09,98.1,87
126,selu,sgd,dropout,0.2,std,97.88799999999999,97.918,98.00999999999999,98.03,98
104,selu,Adamax,alpha_dropout,0.2,std,97.85000000000001,97.9,97.99,98.08,72
70,sigmoid,Adamax,gaussian_dropout,0.1,normd,97.892,97.9,98.0,98.0,91
64,sigmoid,Adamax,gaussian_dropout,0.1,normd,97.892,97.9,98.0,98.0,91
4,selu,Adamax,alpha_dropout,0.2,normd,97.85199999999999,97.898,97.97,97.97,98
132,selu,sgd,gaussian_dropout,0.2,std,97.88799999999999,97.89000000000001,97.94,98.02,92
100,selu,Adamax,no_dropout,0.0,std,97.81800000000001,97.874,97.98,98.03,84
108,selu,Adamax,gaussian_dropout,0.35,std,97.8,97.872,97.9,97.99,97
137,selu,sgd,alpha_dropout,0.1,std,97.864,97.864,97.98,98.08,99
143,selu,sgd,alpha_dropout,0.1,std,97.864,97.864,97.98,98.08,99
147,selu,sgd,gaussian_noise,0.05,std,97.85400000000001,97.85999999999999,97.92999999999999,97.99,98
124,selu,Adamax,gaussian_noise,1.0,std,97.804,97.84200000000001,97.92999999999999,98.04,77
72,sigmoid,Adamax,gaussian_noise,0.05,normd,97.786,97.822,97.98,97.98,74
102,selu,Adamax,dropout,0.35,std,97.752,97.81400000000001,97.9,97.99,81
66,sigmoid,Adamax,dropout,0.1,normd,97.752,97.778,97.91,97.91,93
60,sigmoid,Adamax,dropout,0.1,normd,97.752,97.778,97.91,97.91,93
24,selu,Adamax,gaussian_noise,1.0,normd,97.67000000000002,97.732,97.72999999999999,97.86,68
57,sigmoid,Adamax,gaussian_dropout,0.2,normd,97.696,97.712,97.83,97.88,88
0,selu,Adamax,no_dropout,0.0,normd,97.68,97.71000000000001,97.82,97.91,98
74,sigmoid,Adamax,gaussian_noise,1.0,normd,97.57400000000001,97.66600000000001,97.72999999999999,97.78999999999999,33
50,sigmoid,Adamax,no_dropout,0.0,normd,97.506,97.62599999999999,97.58,97.85000000000001,45
